,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
299,23,23.000000000000085,0.0,1,1,1,1
300,23,23.000000000000036,0.0,1,1,1,1
301,22,22.000000000000078,0.0,1,1,1,1
302,22,22.00000000000005,0.0,1,1,1,1
303,24,24.000000000000064,0.0,1,1,1,1
304,23,23.000000000000064,0.0,1,1,1,1
305,24,24.000000000000057,0.0,1,1,1,1
306,23,23.000000000000078,0.0,1,1,1,1
307,23,23.000000000000057,0.0,1,1,1,1
308,24,24.000000000000064,0.0,1,1,1,1
309,23,23.000000000000078,0.0,1,1,1,1
310,23,23.000000000000043,0.0,1,1,1,1
311,19,19.000000000000057,0.0,1,1,1,1
312,14,14.000000000000032,0.0,1,1,1,1
313,17,17.0,0.0,1,1,1,1
314,20,20.00000000000003,0.0,1,1,1,1
315,19,19.000000000000064,0.0,1,1,1,1
316,14,14.000000000000064,0.0,1,1,1,1
317,15,15.000000000000048,0.0,1,1,1,1
318,16,16.0000000000001,0.0,1,1,1,1
319,17,17.000000000000156,0.0,1,1,1,1
320,16,16.00000000000003,0.0,1,1,1,1
321,17,17.000000000000007,0.0,1,1,1,1
322,12,12.00000000000004,0.0,1,1,1,1
323,7,6.99999999999998,0.0,1,1,1,1
324,2,1.9999999999999103,0.0,1,1,1,1
325,3,2.9999999999998805,0.0,1,1,1,1
326,7,6.9999999999999165,0.0,1,1,1,1
327,6,5.999999999999951,0.0,1,1,1,1
328,6,5.999999999999985,0.0,1,1,1,1
329,6,5.99999999999997,0.0,1,1,1,1
330,11,10.999999999999977,0.0,1,1,1,1
331,14,14.000000000000016,0.0,1,1,1,1
332,20,20.000000000000014,0.0,1,1,1,1
333,17,17.000000000000064,0.0,1,1,1,1
334,19,19.000000000000135,0.0,1,1,1,1
335,12,12.000000000000181,0.0,1,1,1,1
336,12,12.00000000000028,0.0,1,1,1,1
337,16,15.999999999999991,0.0,1,1,1,1
338,12,12.000000000000014,0.0,1,1,1,1
339,14,13.999999999999966,0.0,1,1,1,1
340,18,18.0,0.0,1,1,1,1
341,22,22.00000000000003,0.0,1,1,1,1
342,12,12.000000000000078,0.0,1,1,1,1
343,7,6.999999999999977,0.0,1,1,1,1
344,12,11.999999999999917,0.0,1,1,1,1
345,17,17.000000000000007,0.0,1,1,1,1
346,21,21.00000000000005,0.0,1,1,1,1
347,17,17.00000000000005,0.0,1,1,1,1
348,12,12.000000000000046,0.0,1,1,1,1
349,14,13.999999999999979,0.0,1,1,1,1
350,13,13.000000000000012,0.0,1,1,1,1
351,14,14.000000000000016,0.0,1,1,1,1
352,17,17.000000000000007,0.0,1,1,1,1
353,18,18.00000000000002,0.0,1,1,1,1
354,18,18.00000000000003,0.0,1,1,1,1
355,20,20.00000000000007,0.0,1,1,1,1
356,17,17.000000000000085,0.0,1,1,1,1
357,13,13.000000000000048,0.0,1,1,1,1
358,11,10.999999999999982,0.0,1,1,1,1
359,13,12.999999999999929,0.0,1,1,1,1
360,12,11.99999999999999,0.0,1,1,1,1
361,11,11.000000000000005,0.0,1,1,1,1
362,12,12.000000000000037,0.0,1,1,1,1
363,19,19.000000000000043,0.0,1,1,1,1
364,11,11.00000000000008,0.0,1,1,1,1
365,8,7.999999999999988,0.0,1,1,1,1
366,9,8.99999999999993,0.0,1,1,1,1
367,18,17.99999999999998,0.0,1,1,1,1
368,12,12.00000000000004,0.0,1,1,1,1
369,4,3.999999999999983,0.0,1,1,1,1
370,9,8.999999999999899,0.0,1,1,1,1
371,6,5.999999999999993,0.0,1,1,1,1
372,4,3.999999999999936,0.0,1,1,1,1
373,3,2.9999999999998974,0.0,1,1,1,1
374,5,4.999999999999956,0.0,1,1,1,1
375,11,11.000000000000023,0.0,1,1,1,1
376,6,6.000000000000095,0.0,1,1,1,1
377,5,5.000000000000024,0.0,1,1,1,1
378,12,12.000000000000021,0.0,1,1,1,1
379,5,5.000000000000002,0.0,1,1,1,1
380,-1,-1.0000000000000566,0.0,1,1,1,1
381,2,1.9999999999998437,0.0,1,1,1,1
382,1,0.9999999999998759,0.0,1,1,1,1
383,6,5.999999999999903,0.0,1,1,1,1
384,6,5.999999999999986,0.0,1,1,1,1
385,4,4.00000000000001,0.0,1,1,1,1
386,4,3.9999999999999343,0.0,1,1,1,1
387,9,8.999999999999972,0.0,1,1,1,1
388,11,11.000000000000004,0.0,1,1,1,1
389,12,12.000000000000055,0.0,1,1,1,1
390,15,15.000000000000034,0.0,1,1,1,1
391,13,13.000000000000023,0.0,1,1,1,1
392,16,16.000000000000014,0.0,1,1,1,1
393,12,12.000000000000039,0.0,1,1,1,1
394,8,7.9999999999999645,0.0,1,1,1,1
395,7,7.000000000000007,0.0,1,1,1,1
396,10,10.00000000000006,0.0,1,1,1,1
397,14,14.000000000000215,0.0,1,1,1,1
398,16,16.00000000000007,0.0,1,1,1,1
399,19,19.000000000000043,0.0,1,1,1,1
400,17,17.000000000000043,0.0,1,1,1,1
401,19,19.000000000000014,0.0,1,1,1,1
402,12,12.000000000000023,0.0,1,1,1,1
403,13,12.99999999999997,0.0,1,1,1,1
404,15,14.999999999999996,0.0,1,1,1,1
405,5,5.000000000000024,0.0,1,1,1,1
406,6,5.9999999999999485,0.0,1,1,1,1
407,9,8.999999999999913,0.0,1,1,1,1
408,7,6.999999999999954,0.0,1,1,1,1
409,9,8.99999999999998,0.0,1,1,1,1
410,13,13.000000000000018,0.0,1,1,1,1
411,20,20.00000000000003,0.0,1,1,1,1
412,20,20.000000000000114,0.0,1,1,1,1
413,18,18.000000000000064,0.0,1,1,1,1
414,18,18.000000000000036,0.0,1,1,1,1
415,12,12.000000000000023,0.0,1,1,1,1
416,13,12.999999999999964,0.0,1,1,1,1
417,17,16.999999999999993,0.0,1,1,1,1
418,17,17.000000000000014,0.0,1,1,1,1
419,11,11.000000000000046,0.0,1,1,1,1
420,7,6.99999999999996,0.0,1,1,1,1
421,9,8.999999999999941,0.0,1,1,1,1
422,12,11.99999999999999,0.0,1,1,1,1
423,18,18.000000000000014,0.0,1,1,1,1
424,19,19.000000000000043,0.0,1,1,1,1
425,8,8.000000000000046,0.0,1,1,1,1
426,1,0.9999999999999367,0.0,1,1,1,1
427,1,0.9999999999998539,0.0,1,1,1,1
428,9,8.99999999999992,0.0,1,1,1,1
429,6,6.000000000000031,0.0,1,1,1,1
430,1,0.9999999999999754,0.0,1,1,1,1
431,1,0.9999999999998797,0.0,1,1,1,1
432,4,3.9999999999998934,0.0,1,1,1,1
433,6,5.999999999999949,0.0,1,1,1,1
434,11,10.999999999999986,0.0,1,1,1,1
435,11,11.000000000000039,0.0,1,1,1,1
436,4,4.00000000000003,0.0,1,1,1,1
437,6,5.9999999999999245,0.0,1,1,1,1
438,9,9.000000000000009,0.0,1,1,1,1
439,11,10.999999999999993,0.0,1,1,1,1
440,11,10.999999999999996,0.0,1,1,1,1
441,14,14.000000000000082,0.0,1,1,1,1
442,14,14.000000000000135,0.0,1,1,1,1
443,17,17.000000000000213,0.0,1,1,1,1
444,19,19.000000000000043,0.0,1,1,1,1
445,19,19.000000000000085,0.0,1,1,1,1
446,16,16.000000000000043,0.0,1,1,1,1
447,18,18.000000000000007,0.0,1,1,1,1
448,21,21.000000000000014,0.0,1,1,1,1
449,22,22.000000000000064,0.0,1,1,1,1
450,23,23.000000000000078,0.0,1,1,1,1
451,18,18.000000000000092,0.0,1,1,1,1
452,14,14.00000000000005,0.0,1,1,1,1
453,20,20.00000000000002,0.0,1,1,1,1
454,19,19.000000000000178,0.0,1,1,1,1
