,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
5770,3.0,2.9999999999999925,0.0,1,1,1,1
5771,3.0,2.9999999999999964,0.0,1,1,1,1
5772,3.0,2.9999999999999742,0.0,1,1,1,1
5773,8.0,7.999999999999988,0.0,1,1,1,1
5774,6.0,6.000000000000049,0.0,1,1,1,1
5775,8.0,8.000000000000046,0.0,1,1,1,1
5776,9.0,9.000000000000043,0.0,1,1,1,1
5777,11.0,11.000000000000039,0.0,1,1,1,1
5778,11.0,11.000000000000087,0.0,1,1,1,1
5779,13.0,13.000000000000078,0.0,1,1,1,1
5780,10.0,10.000000000000087,0.0,1,1,1,1
5781,11.0,11.000000000000057,0.0,1,1,1,1
5782,9.0,9.000000000000071,0.0,1,1,1,1
5783,9.0,9.000000000000053,0.0,1,1,1,1
5784,8.0,8.000000000000055,0.0,1,1,1,1
5785,4.0,4.000000000000044,0.0,1,1,1,1
5786,4.0,3.999999999999984,0.0,1,1,1,1
5787,6.0,6.0000000000000036,0.0,1,1,1,1
5788,8.0,7.999999999999998,0.0,1,1,1,1
5789,8.0,8.000000000000025,0.0,1,1,1,1
5790,8.0,8.000000000000044,0.0,1,1,1,1
5791,6.0,6.000000000000051,0.0,1,1,1,1
5792,9.0,9.000000000000037,0.0,1,1,1,1
5793,8.0,8.000000000000005,0.0,1,1,1,1
5794,7.0,7.000000000000058,0.0,1,1,1,1
5795,9.0,9.000000000000039,0.0,1,1,1,1
5796,10.0,10.000000000000048,0.0,1,1,1,1
5797,8.0,8.000000000000044,0.0,1,1,1,1
5798,11.0,11.000000000000025,0.0,1,1,1,1
5799,12.0,12.000000000000059,0.0,1,1,1,1
5800,13.0,13.000000000000052,0.0,1,1,1,1
5801,12.0,12.000000000000055,0.0,1,1,1,1
5802,13.0,13.000000000000057,0.0,1,1,1,1
5803,11.0,11.000000000000068,0.0,1,1,1,1
5804,11.0,11.000000000000066,0.0,1,1,1,1
5805,10.0,10.000000000000037,0.0,1,1,1,1
5806,9.0,9.000000000000068,0.0,1,1,1,1
5807,10.0,10.000000000000052,0.0,1,1,1,1
5808,7.0,7.000000000000044,0.0,1,1,1,1
5809,6.0,6.000000000000037,0.0,1,1,1,1
5810,6.0,6.000000000000021,0.0,1,1,1,1
5811,11.0,11.000000000000023,0.0,1,1,1,1
5812,11.0,11.000000000000053,0.0,1,1,1,1
5813,13.0,13.00000000000005,0.0,1,1,1,1
5814,14.0,14.00000000000006,0.0,1,1,1,1
5815,11.0,11.000000000000057,0.0,1,1,1,1
5816,12.0,12.000000000000057,0.0,1,1,1,1
5817,16.0,16.000000000000092,0.0,1,1,1,1
